jobNumber,job_title,job_location,job_description,original_link,original_link_clean,job_company,job_money_unchanged,job_money,salary_description,range_lower,range_upper,original_link_emails,original_link_telephones,image_src_link,image_src_link_path,image_src_link_file,image_link,job_date,indeed_date,original_plain_text,original_html,company_description_indeed,company_revenue_indeed,company_employees_indeed,company_industry_indeed,company_links_indeed
161845,Casual Customer Adviser,Wagga Wagga NSW,Ideally you will have previous experience in a retail or customer service role but most important to us is your ability to develop and learn combined with your...,http://careers.pageuppeople.com/mob/410/test/en/job/708910/casual-customer-adviser-wagga-wagga?source=IND,http://careers.pageuppeople.com/mob/410/test/en/job/708910/casual-customer-adviser-wagga-wagga?,NAB - National Australia Bank,$132 a day,132,a day,,,,,,,,,01-05-2016_16:00,Just posted,"
Powered by PageUp
Fantastic opportunity to join National Australia Bank based in NAB’s Wagga Wagga branch. Great entry level opportunity, join us and shine!

Oops! Please check your email for errors!
Ok, we will send you jobs like this.
We will email you new jobs that match this search.
Back to listRefer a friend

Advertised:May 03 2016Aus. Eastern Standard TimeApplication close:May 17 2016Aus. Eastern Standard Time
At NAB, it's all about our people reaching their full potential. And in Personal Banking that means a well defined career path.
_______________________________________________________________________________
For full job details and to apply go to nab.com.au/careers
We embrace diversity of thought, style and working arrangements to ensure our workforce is representative of the community that we serve.
To be eligible to apply, you must have Australian or New Zealand citizenship or permanent residency status.
If you feel you have what it takes and are ready for your next challenge, submit your application online now.
Ideally you will have previous experience in a retail or customer service role but most important to us is your ability to develop and learn combined with your passion and motivation to serve our customers.
As well as this, we offer a generous remuneration & benefits package along with the unlimited career opportunities you would expect from one of Australia's largest financial services providers.
This role will offer you the opportunity to be a part of something different, working for an organisation with integrity, pride and most importantly a genuine commitment to customers. Your development and growth is important to us, you will be provided with all the tools and resources you need to be the best, every step of the way.
Your day to day activities & responsibilities will focus in the following areas :-
Based in a Branch the role of Customer Advisor best suits outgoing, self motivated people with a passion for providing exceptional customer service, looking to build a long term career with a large financial services organisation.
National Australia Bank is one of Australia's largest financial services organisations. Our business is founded on a belief in the potential of our customers and the community - a belief that motivates our people to do the right thing, be authentic and respectful, work together and create value through excellence.
Bring your potential to NAB and we'll bring you the opportunities.
At NAB, we believe success comes from our people. We're committed to supporting your talent and skills through your career, as you help us build a culture that affects change for our customers - and for the community too.
Agency:Personal BankingJob no:708910Work type:CasualLocation:Aust - NSW RegionalCategories:Various categories
",,,,,,
161914,Administration Officer - Fuse Friendship Program,Adelaide SA,"Additionally, all applicants must undergo a Criminal History Records Check – Child Related Screening via the Department for Communities and Social Inclusion ...",https://baptistcaresa.currentjobs.co/Job/Administration-Officer-Fuse-Friendship-Program/Central/303,https://baptistcaresa.currentjobs.co/Job/Administration-Officer-Fuse-Friendship-Program/Central/303,Baptist Care SA,,,,,,iwarner@baptistcaresa.org.au.Location,,,,,,01-05-2016_16:00,Just posted,"Administration Officer - Fuse Friendship Program


•	3 days per week•	Wayville Head Office•	Competetive Hourly Rate•	Salary Packaging and BUPA Benefits• An organisation focussed on the safety and protection of vulnerable people and childrenThe Fuse Mentoring Program provides opportunities for volunteer mentors to build friendships with people from refugee backgrounds ('mentees') who are settling into Adelaide.In support of this program we are searching for an Administration Officer who has an eye for detail, good communication skills and who enjoys engaging within church communities.This role is more than a basic administration role. If successful, you will have the opportunity to assist the Fuse Coordinator with meeting potential mentors and processing their applications, with managing referrals for clients (potential mentees), considering mentee needs, and in helping organise mentor trainings and other relevant events.Your role will help support Mentors and Mentees as they build positive and effective relationships with one another.To be considered for this unique role you will need to have:•	Ideally 5 years administration experience•	At least one relevant tertiary qualification•	Demonstrated experience working with volunteers•	Demonstrated experience of effectively engaging with people of different cultural backgrounds and faith communities.•	Excellent oral and written communications skills•	Competency in administration•	Computer literacy skills including Microsoft Word and Excel•	A Certificate in Childsafe Environments Training (with an issue date of less than 3 years)•	Demonstrated ability to work adaptively and positively•	Demonstrated ability to think critically and maintain clear professional boundaries with numerous clients and stakeholdersBaptist Care is committed to the safety and protection of all children and vulnerable people and as such applicants will be considered in accordance with our safety practices and suitability screening processes prior to an offer or employment. Additionally, all applicants must undergo a Criminal History Records Check – Child Related Screening via the Department for Communities and Social Inclusion (DCSI) as well as a National Police Check (NPC).To ApplyPlease complete your application via our Baptist Care Website (www.baptistcaresa.org.au) 'working with us page' and address any queries regarding the role to Chaplain Ian Warner –iwarner@baptistcaresa.org.au.Location:
",,,,,,
161918,Online Retail Assistant,Alexandria NSW,"Seeking Online retail assistant. Duties include pick packing, administration duties, data entry, liaising with couriers to arrange pickups, wrapping and packing...",https://jobsearch.gov.au/Job/View/Details/2275197379?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,https://jobsearch.gov.au/Job/View/Details/2275197379,,,,,,,,,,,,,01-05-2016_16:00,Just posted,"Online Retail Assistant - ALEXANDRIA
Education:
The most common level of educational attainment for Other Sales Assistants and Salespersons is Years 11 and 10 (40.3 per cent).
Description:
This unit group covers Sales Assistants and Salespersons not elsewhere classified.
For information about working in Australia contact theDepartment of Immigration and Border ProtectionExternal link. Opens in a new window.
Warning:Jobs may be filled by the time you make an enquiry
Located in Alexandria
Must be well presented, customer service oriented and have a strong phone manner,
Duties include pick packing, administration duties, data entry, liaising with couriers to arrange pickups, wrapping and packing gift hampers.
Part time position
Seeking Online retail assistant
Sign in with AusKey to manage your wage subsidy
Wage subsidy
Sign in or register as an employer
Employer
Sign in or register as a job seeker through myGov
Job seeker
Search for jobs in the resources sector right across Australia
Resources Sector Jobs Board
Helping young people to start work or continue their education
Transition to Work
Get real life work experience for up to 4 weeks to gain skills and confidence
National Work Experience Programme
Find activities to build new skills, experience and confidence
Work for the dole
Be your own boss with the New Enterprise Incentive Scheme
Start your own business
Find out your rights if you’re going to have a baby
Support for working parents
Search for jobs for Indigenous Australians
Indigenous jobs
Find work harvesting fruit and vegies
Harvest jobs
Find out how jobactive works
jobactive for job seekers
Your local jobactive provider can help you find and keep a job
Find a provider
Thousands of jobs online right now
Find a job
Trial a job seeker through work experience before you hire them
National Work Experience Programme
Get help to employ workers with disability
Hire people with disability
Get help with your payroll to employ new staff
Get a wage subsidy
All you need to know about hiring an apprentice
Hire an apprentice
Get up to $10,000 for hiring a mature age worker
Restart for over 50s
The latest news in recruitment
jobactive blog
Find out how jobactive works
jobactive for employers
Your local provider can help find candidates at no cost to you
Get help with your recruitment
Advertise to thousands of candidates at no cost to you
Advertise a job
",,,,,,
161919,Process Workers,Braeside VIC,Please note that due to the high volume of applications only shortlisted candidates will be contacted. We are currently seeking reliable & hard working Process...,https://jobsearch.gov.au/Job/View/Details/2275197561?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,https://jobsearch.gov.au/Job/View/Details/2275197561,,,,,,,,,,,,,01-05-2016_16:00,Just posted,"Process Workers - BRAESIDE
Education:
The most common level of educational attainment for Other Factory Process Workers is Years 11 and 10 (34.6 per cent).
Description:
This unit group covers Factory Process Workers not elsewhere classified.
For information about working in Australia contact theDepartment of Immigration and Border ProtectionExternal link. Opens in a new window.
Warning:Jobs may be filled by the time you make an enquiry
Sign in with AusKey to manage your wage subsidy
Wage subsidy
Sign in or register as an employer
Employer
Sign in or register as a job seeker through myGov
Job seeker
Search for jobs in the resources sector right across Australia
Resources Sector Jobs Board
Helping young people to start work or continue their education
Transition to Work
Get real life work experience for up to 4 weeks to gain skills and confidence
National Work Experience Programme
Find activities to build new skills, experience and confidence
Work for the dole
Be your own boss with the New Enterprise Incentive Scheme
Start your own business
Find out your rights if you’re going to have a baby
Support for working parents
Search for jobs for Indigenous Australians
Indigenous jobs
Find work harvesting fruit and vegies
Harvest jobs
Find out how jobactive works
jobactive for job seekers
Your local jobactive provider can help you find and keep a job
Find a provider
Thousands of jobs online right now
Find a job
Trial a job seeker through work experience before you hire them
National Work Experience Programme
Get help to employ workers with disability
Hire people with disability
Get help with your payroll to employ new staff
Get a wage subsidy
All you need to know about hiring an apprentice
Hire an apprentice
Get up to $10,000 for hiring a mature age worker
Restart for over 50s
The latest news in recruitment
jobactive blog
Find out how jobactive works
jobactive for employers
Your local provider can help find candidates at no cost to you
Get help with your recruitment
Advertise to thousands of candidates at no cost to you
Advertise a job
",,,,,,
161917,Junior Automotive Assistant,Tullamarine VIC,Preparing sales contract/invoices. Full Drivers License. We are wholesale motor car traders seeking contractor/temp workers/casuals to kick start their career...,https://jobsearch.gov.au/Job/View/Details/2275189434?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,https://jobsearch.gov.au/Job/View/Details/2275189434,,,,,,,,,,,,,01-05-2016_16:00,Just posted,"Junior Automotive Assistant - TULLAMARINE
Education:
The most common level of educational attainment for Motor Mechanics is Certificate III/IV (71.1 per cent).
Description:
Motor Mechanics repair, maintain and test motor vehicle and other internal combustion engines and related mechanical components.
For information about working in Australia contact theDepartment of Immigration and Border ProtectionExternal link. Opens in a new window.
Warning:Jobs may be filled by the time you make an enquiry
Please forward your resume and we will contact the shortlisted candidates.
- ABN/Legal Work Rights
- Full Drivers License
You should have:
- Preparing sales contract/invoices
- Organizing Roadworthy/Registration
- Conducting basic inspections and preparing condition reports
- Moving cars locally and interstate
A typical day will include but not limited to:

We are wholesale motor car traders seeking contractor/temp workers/casuals to kick start their career in automotive industry.

Sign in with AusKey to manage your wage subsidy
Wage subsidy
Sign in or register as an employer
Employer
Sign in or register as a job seeker through myGov
Job seeker
Search for jobs in the resources sector right across Australia
Resources Sector Jobs Board
Helping young people to start work or continue their education
Transition to Work
Get real life work experience for up to 4 weeks to gain skills and confidence
National Work Experience Programme
Find activities to build new skills, experience and confidence
Work for the dole
Be your own boss with the New Enterprise Incentive Scheme
Start your own business
Find out your rights if you’re going to have a baby
Support for working parents
Search for jobs for Indigenous Australians
Indigenous jobs
Find work harvesting fruit and vegies
Harvest jobs
Find out how jobactive works
jobactive for job seekers
Your local jobactive provider can help you find and keep a job
Find a provider
Thousands of jobs online right now
Find a job
Trial a job seeker through work experience before you hire them
National Work Experience Programme
Get help to employ workers with disability
Hire people with disability
Get help with your payroll to employ new staff
Get a wage subsidy
All you need to know about hiring an apprentice
Hire an apprentice
Get up to $10,000 for hiring a mature age worker
Restart for over 50s
The latest news in recruitment
jobactive blog
Find out how jobactive works
jobactive for employers
Your local provider can help find candidates at no cost to you
Get help with your recruitment
Advertise to thousands of candidates at no cost to you
Advertise a job
",,,,,,
162000,Support Worker Information and Recruitment Session,Mooloolaba QLD,"Respite, community support and residential support in both adult and children services within a disability framework....",http://careers.hwns.com.au/job-details/query/support-worker-information-and-recruitment-session/in/north-coast-qld-sunshine-coast/6624141/,http://careers.hwns.com.au/job-details/query/support-worker-information-and-recruitment-session/in/north-coast-qld-sunshine-coast/6624141/,House with No Steps,,,,,,JMcDonnell@hwns.com.au,,,,,,01-05-2016_16:00,Just posted,"Job Search

Contact:Jeanie McDonnell to reserve your spot as seats as limited. Her email is JMcDonnell@hwns.com.au
Time:2:00pm – 4:00pm Or 5:00pm – 7:00pm
Where:House with No Steps, Charles Duke Memorial Drive, Doonan
When:Thursday 12th May 2016

Come along whether you have previous experience or just beginning your career in the sector.
We are looking for candidate's who uphold HWNS values and attitudes and have the ability to fit within our organisation's person centred focus. Flexibility to work various types of shifts and across locations will also be favourable.
Services:Respite, community support and residential support in both adult and children services within a disability framework
Location:Tewantin, Mooloolaba, Doonan and Caloundra
Work Type:Part time shift-work
Position Details:
House with No Steps is holding an information and recruitment session. You will meet some of the local management team, who will provide you with information about being a Support Worker at House with No Steps and about the services we provide. You will also have the opportunity to ask questions. Interactive recruitment exercises and scenarios will immediately proceed the information session.
Are you looking for an exciting and meaningful career, supporting children or adults with a disability? Would like to make a positive difference in a person’s life, assisting individuals to reach their full potential to lead a full and enriched life?
You've successfully completed your application
Are you looking for an exciting and meaningful career, supporting children or adults with a disability? Would like to make a positive difference in a person’s life, assisting individuals to reach their full potential to lead a full and enriched life?House with No Steps is holding an information and recruitment session. You will meet some of the local management team, who will provide you with information about being a Support Worker at House with No Steps and about the services we provide. You will also have the opportunity to ask questions. Interactive recruitment exercises and scenarios will immediately proceed the information session.Position Details:Work Type: Part time shift-workLocation: Tewantin, Mooloolaba, Doonan and CaloundraServices: Respite, community support and residential support in both adult and children services within a disability frameworkWe are looking for candidate's who uphold HWNS values and attitudes and have the ability to fit within our organisation's person centred focus. Flexibility to work various types of shifts and across locations will also be favourable.Come along whether you have previous experience or just beginning your career in the sector.QueenslandNorth Coast Qld (Sunshine Coast)
Location
Classification
Keywords
",,,,,,
161915,Staff Scientist,Canberra ACT,Current curriculum vitae (CV) which includes the names and contact. Applications which do not address the selection criteria may not be....,http://jobs.anu.edu.au/cw/en/job/508863/staff-scientist,http://jobs.anu.edu.au/cw/en/job/508863/staff-scientist,Australian National University,,,,,,indigenous.employment@anu.edu.au,02 6125 9804,,,,/cmp/Australian-National-University?from=SERP&campaignid=serp-linkcompanyname&fromjk=cc983dce45d01450&jcid=2f4043d8a400cb5c,01-05-2016_16:00,Just posted,"Jobs
+61 2 6125 5111The Australian National University, CanberraCRICOS Provider : 00120CABN : 52 234 063 906
Updated:20 March 2015/Responsible Officer:Director Human Resources/Page Contact:HR Systems



Powered by PageUp
More Jobs-9
More Jobs-9
You must agree to the privacy statement
The email address was invalid, please check for errors.
Ok, we will send you jobs like this.
We will email you new jobs that match this search.
Back to search resultsApply now
Advertised:03 May 2016 09:00:00 AMAus. Eastern Standard TimeApplications close:25 May 2016 11:55:00 PMAus. Eastern Standard Time
Position Description & Selection Criteria

Applications which do not address the selection criteria may not be
considered for the position.
In order to
apply for this role please make sure that you upload the following documents:
Application information
ANU values
diversity and inclusion and believes employment opportunities must not be
limited by socio-economic background, race, religion or gender. For more
information about staff equity at ANU, visithttps://services.anu.edu.au/human-resources/respect-inclusion
The
University actively encourages applications from Aboriginal and Torres Strait
Islander people. For more information on employment opportunities, contact our
Indigenous Employment Consultant on indigenous.employment@anu.edu.au
Enquiries: Amanda Walker  T: 02 6125 9804  E: amanda.walker@anu.edu.au
Appointments
will be made in the range ANU07 or ANU08, depending on the candidates' skills,
experience and the level of duties expected.
NCI is seeking
an experienced computational scientist to support growing requirements in the
area of user support and training, and contribute to the development,
implementation and support of highly-scaling codes. This is an exciting
opportunity to be part of a challenging environment `at the forefront of high
performance computing.
NCI's high
performance computing systems include a 57,500 CPU core Fujitsu Primergy
system, Raijin; a high performance OpenStack data-intensive compute cloud; high
speed storage including large parallel Lustre filesystems and deep storage
systems.
Position overview
Classification:ANU Officer Grade 7 OR 8
(depending on skills and experience)Salary package:$80,800 to $97,926 per annum plus 17%
SuperannuationTerms:Continuing (Contingent Funded)until 31 December 2017
Classification:ANU Officer 8
Apply nowJob no:508863Work type:Continuing (Contingent Funded)Location:Canberra / ACTCategories:Professional
Related Sites
Jobs
",,"Meanwhile the Australian National University and the University of Melbourne now also maintain similar digital Repositories. The ANU E-Print Repository has the larger archive of around 1,460 items, with material back to 1987, while the smaller collection at the University of Melbourne (just under 200 items) boasts the oldest individual item, dating",,,Education and Schools,http://www.anu.edu.au
162069,Housekeeper / All-Rounder-Remote NT (2273610),Northern Territory,$23.08 per hour - penalty rates on weekends. We are seeking a Housekeeper / All-Rounder for this busy venue located in remote Northern Territory....,http://www.mlkarecruitment.com.au/view-job?job_id=824,http://www.mlkarecruitment.com.au/view-job?job_id=824,MLKA Hospitality Recruitment,,,,,,,,,,,,01-05-2016_16:00,Just posted,,,,,,,
161995,Store Person,Iluka NSW,"This role incorporates many duties throughout the store including receiving goods, maintaining correct rotation of stock, directing staff and general duties,...",https://jobsearch.gov.au/Job/View/Details/2275197899?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,https://jobsearch.gov.au/Job/View/Details/2275197899,,,,,,,,,,,,,01-05-2016_16:00,Just posted,"Store Person - ILUKA
Education:
The most common level of educational attainment for Other Sales Assistants and Salespersons is Years 11 and 10 (40.3 per cent).
Description:
This unit group covers Sales Assistants and Salespersons not elsewhere classified.
For information about working in Australia contact theDepartment of Immigration and Border ProtectionExternal link. Opens in a new window.
Warning:Jobs may be filled by the time you make an enquiry
Current driver’s license, RSA and Forklift license will be highly regarded
Our IGA store located in Iluka NSW, is currently looking for a positive, proactive person to fill the role of FULL TIME STORE PERSON. To be successful in this role you will ideally possess experience in the supermarket industry, you will also need to be physically capable for a demanding role and to be able to think quickly on your feet.  This role incorporates many duties throughout the store including receiving goods, maintaining correct rotation of stock, directing staff and general duties, all while delivering exceptional customer service. This role is suited to a committed person looking for a long-term career in a rewarding working environment. Generally the role is a Monday to Friday with occasional weekend work as required.
Sign in with AusKey to manage your wage subsidy
Wage subsidy
Sign in or register as an employer
Employer
Sign in or register as a job seeker through myGov
Job seeker
Search for jobs in the resources sector right across Australia
Resources Sector Jobs Board
Helping young people to start work or continue their education
Transition to Work
Get real life work experience for up to 4 weeks to gain skills and confidence
National Work Experience Programme
Find activities to build new skills, experience and confidence
Work for the dole
Be your own boss with the New Enterprise Incentive Scheme
Start your own business
Find out your rights if you’re going to have a baby
Support for working parents
Search for jobs for Indigenous Australians
Indigenous jobs
Find work harvesting fruit and vegies
Harvest jobs
Find out how jobactive works
jobactive for job seekers
Your local jobactive provider can help you find and keep a job
Find a provider
Thousands of jobs online right now
Find a job
Trial a job seeker through work experience before you hire them
National Work Experience Programme
Get help to employ workers with disability
Hire people with disability
Get help with your payroll to employ new staff
Get a wage subsidy
All you need to know about hiring an apprentice
Hire an apprentice
Get up to $10,000 for hiring a mature age worker
Restart for over 50s
The latest news in recruitment
jobactive blog
Find out how jobactive works
jobactive for employers
Your local provider can help find candidates at no cost to you
Get help with your recruitment
Advertise to thousands of candidates at no cost to you
Advertise a job
",,,,,,
161997,Store Manager in Training,Brisbane QLD,"The desire to shine in a challenging retail environment. Utilising your strong-focused business ambition you will collaborate with your Store Manager to plan,...",http://careers.michaelhill.com/mob/cw/en/job/498102/store-manager-in-training-indooroopilly-brisbane?source=IND,http://careers.michaelhill.com/mob/cw/en/job/498102/store-manager-in-training-indooroopilly-brisbane?,Michael Hill Jeweller,,,,,,,,,,,,01-05-2016_16:00,Just posted,"
Powered by PageUp
Australasia’s most profitable, publicly listed jewellery retailer is seeking sales driven leaders: Team size: 5-12, Turnover: $1.8m-$3.5m+

Oops! Please check your email for errors!
Ok, we will send you jobs like this.
We will email you new jobs that match this search.
Back to listRefer a friend

Advertised:May 03 2016E. Australia Standard TimeApplication close:May 27 2016E. Australia Standard Time

Opportunities to advance your career are available to those with the capacity to relocate. Apply online now to invest in your brighter future.
Essential to your success with us is:

As a Michael Hill manager you will drive our sales management systems to consistently achieve optimum profitability and growth within your store. Utilising your strong-focused business ambition you will collaborate with your Store Manager to plan, monitor and develop a thriving and successful Michael Hill business. Our comprehensive training program will support and enable you to align your previous sales experience with our framework. We are seeking engaging leaders with previous demonstrated success in running a profitable business with a core focus on leadership and people development. This is a fantastic opportunity for both those who have excelled in either a sales environment or business development role.

The role, your opportunity:

At Michael Hill, we're celebrating over 35 years in the jewellery business with continued rapid expansion across Australia, New Zealand, Canada and the US employing over 2350 people. If you want to join an organisation that offers you real earning potential and career development then look no further. Our comprehensive Manager in Training programs assist you in developing and reaching your goals, you just have to bring the drive and passion.

What can Michael Hill Offer you?

Agency:MHJ AustraliaJob no:498102Work type:Full timeLocation:Various locationsCategories:Retail Management
",,,,,,
